generation,population,episodes_seen,best_fitness,generation_best_fitness,generation_mean_fitness,sigma,probe_yellow_win_rate,probe_blue_win_rate,probe_draw_rate,probe_mean_elapsed_s,probe_mean_robot_contacts,probe_mean_obstacle_contacts,probe_mean_yellow_alive,probe_mean_blue_alive
25,16,1664,506.4153603339719,458.8478866812114,71.36193761613967,0.37128267331188874,0.0,1.0,0.0,26.600000000000005,182.33333333333334,0.0,46.666666666666664,45.666666666666664
26,16,1728,506.4153603339719,155.37546559300097,-40.121070374993145,0.3657134332122104,0.0,1.0,0.0,26.766666666666666,170.33333333333334,0.0,46.666666666666664,45.0
27,16,1792,511.62955685932,511.62955685932,131.48856570137954,0.3602277317140272,0.0,1.0,0.0,28.566666666666666,251.83333333333334,0.0,41.5,43.833333333333336
28,16,1856,511.62955685932,477.05705555555556,171.65497465957466,0.3548243157383168,0.0,1.0,0.0,28.766666666666666,258.6666666666667,0.0,41.166666666666664,44.5
29,16,1920,511.62955685932,247.54687855493714,113.23588554215209,0.349501951002242,0.0,1.0,0.0,28.46666666666667,241.0,0.0,41.333333333333336,43.666666666666664
30,16,1984,511.62955685932,235.86025182708636,128.03873954208754,0.34425942173720836,0.0,1.0,0.0,28.8,267.6666666666667,0.0,41.5,43.666666666666664
31,16,2048,511.62955685932,224.27241898230585,159.62073178010905,0.3390955304111502,0.0,1.0,0.0,28.900000000000002,251.83333333333334,0.0,41.5,43.833333333333336
32,16,2112,511.62955685932,224.95670411488152,98.60425154273008,0.334009097454983,0.0,1.0,0.0,28.066666666666666,234.66666666666666,0.0,41.666666666666664,45.166666666666664
33,16,2176,511.62955685932,284.2707448300383,166.2813265531287,0.32899896099315823,0.0,1.0,0.0,28.63333333333333,237.83333333333334,0.0,41.333333333333336,43.833333333333336
34,16,2240,511.62955685932,255.3991948828094,73.81801561329641,0.32406397657826086,0.0,1.0,0.0,28.833333333333332,226.5,0.0,41.333333333333336,44.0
35,16,2304,511.62955685932,281.9082759165476,52.708064660286084,0.31920301692958697,0.0,1.0,0.0,28.866666666666664,224.83333333333334,0.0,40.833333333333336,43.833333333333336
36,16,2368,511.62955685932,322.444244354175,114.80396604712786,0.31441497167564314,0.0,1.0,0.0,29.03333333333333,251.33333333333334,0.0,41.166666666666664,43.833333333333336
37,16,2432,511.62955685932,210.22168783095307,59.14101542237602,0.3096987471005085,0.16666666666666666,0.8333333333333334,0.0,29.0,241.16666666666666,0.0,41.333333333333336,44.166666666666664
38,16,2496,511.62955685932,255.68872028175718,102.91180151934338,0.30505326589400084,0.0,1.0,0.0,29.166666666666668,255.16666666666666,0.0,40.833333333333336,44.0
39,16,2560,511.62955685932,203.13822527472536,99.67794455147141,0.3004774669055908,0.0,1.0,0.0,28.36666666666667,240.33333333333334,0.0,41.833333333333336,44.833333333333336
40,16,2624,511.62955685932,224.8782358886775,99.35228502935689,0.29597030490200693,0.0,1.0,0.0,28.933333333333334,257.3333333333333,0.0,41.5,43.666666666666664
41,16,2688,511.62955685932,288.74655394362435,85.6796503828665,0.2915307503284768,0.0,1.0,0.0,28.466666666666665,245.33333333333334,0.0,41.5,44.166666666666664
42,16,2752,511.62955685932,122.35202114471099,37.440591006295335,0.28715778907354966,0.0,1.0,0.0,29.400000000000002,274.6666666666667,0.0,40.833333333333336,43.333333333333336
43,16,2816,511.62955685932,267.63232850117237,111.74791489682232,0.28285042223744644,0.0,1.0,0.0,28.599999999999998,230.83333333333334,0.0,42.0,43.833333333333336
44,16,2880,511.62955685932,158.67100000000002,63.55084643910775,0.27860766590388475,0.0,1.0,0.0,28.900000000000002,258.3333333333333,0.0,41.0,43.666666666666664
45,16,2944,511.62955685932,168.83384679546452,83.19410794281188,0.2744285509153265,0.0,1.0,0.0,29.0,224.5,0.0,40.666666666666664,43.833333333333336
46,16,3008,511.62955685932,215.30690283055063,81.9076812343973,0.2703121226515966,0.0,1.0,0.0,28.466666666666665,223.0,0.0,41.166666666666664,44.5
47,16,3072,511.62955685932,135.39691132176955,43.99314645419467,0.2662574408118226,0.0,1.0,0.0,28.400000000000002,230.83333333333334,0.0,41.166666666666664,44.5
48,16,3136,511.62955685932,149.9194365867914,38.35098899285413,0.26226357919964527,0.0,1.0,0.0,28.533333333333335,244.0,0.0,41.5,44.333333333333336
49,16,3200,511.62955685932,163.56675480683575,-2.1872494755234086,0.25832962551165056,0.0,1.0,0.0,28.333333333333332,253.0,0.0,41.833333333333336,44.166666666666664
50,16,3264,511.62955685932,167.83985592044627,76.47551190268554,0.2544546811289758,0.0,1.0,0.0,28.566666666666666,272.1666666666667,0.0,41.166666666666664,44.333333333333336
51,16,3328,511.62955685932,209.9200108299366,108.65811358363368,0.25063786091204115,0.0,1.0,0.0,29.266666666666666,246.16666666666666,0.0,41.333333333333336,44.166666666666664
52,16,3392,511.62955685932,135.38372727272733,87.89358853964949,0.24687829299836053,0.0,1.0,0.0,28.066666666666666,239.0,0.0,41.666666666666664,45.333333333333336
53,16,3456,511.62955685932,172.4298844550328,46.52451093395165,0.24317511860338512,0.0,1.0,0.0,29.166666666666668,245.5,0.0,41.333333333333336,43.666666666666664
54,16,3520,511.62955685932,116.35983818701686,79.14896764266356,0.23952749182433433,0.0,1.0,0.0,28.766666666666666,247.66666666666666,0.0,41.5,44.0
55,16,3584,511.62955685932,155.79907956854132,76.61999948160434,0.2359345794469693,0.0,1.0,0.0,29.033333333333335,246.16666666666666,0.0,41.666666666666664,43.333333333333336
56,16,3648,511.62955685932,167.15851681439582,124.30836643552256,0.23239556075526477,0.0,1.0,0.0,29.600000000000005,283.1666666666667,0.0,41.0,42.666666666666664
57,16,3712,511.62955685932,200.49791553021132,89.40626840921482,0.2289096273439358,0.0,1.0,0.0,28.333333333333332,240.0,0.0,41.333333333333336,44.166666666666664
58,16,3776,511.62955685932,166.61997885888945,117.28166179828884,0.22547598293377677,0.0,1.0,0.0,28.73333333333333,247.16666666666666,0.0,41.0,44.666666666666664
59,16,3840,511.62955685932,215.6010875977276,90.47150282079292,0.2220938431897701,0.0,1.0,0.0,29.000000000000004,232.16666666666666,0.0,41.666666666666664,43.5
60,16,3904,511.62955685932,160.4671304062264,85.85289055778472,0.21876243554192354,0.0,1.0,0.0,28.933333333333334,262.0,0.0,41.5,44.0
61,16,3968,511.62955685932,221.14586490557298,111.99310908991703,0.2154809990087947,0.0,1.0,0.0,28.53333333333333,249.66666666666666,0.0,41.833333333333336,44.166666666666664
62,16,4032,511.62955685932,170.4767962820928,90.28824496518004,0.21224878402366276,0.0,1.0,0.0,28.533333333333335,262.8333333333333,0.0,41.833333333333336,44.5
63,16,4096,511.62955685932,175.16373578655526,112.88914637958362,0.20906505226330782,0.0,1.0,0.0,27.933333333333334,234.66666666666666,0.0,42.0,45.666666666666664
64,16,4160,511.62955685932,200.8925417709138,95.14347532727473,0.2059290764793582,0.0,1.0,0.0,29.033333333333335,271.3333333333333,0.0,41.166666666666664,43.333333333333336
65,16,4224,511.62955685932,208.6795064492353,74.23013693564403,0.20284014033216782,0.0,1.0,0.0,28.566666666666666,243.0,0.0,42.0,44.333333333333336
66,16,4288,511.62955685932,122.17714267929395,55.43960404555056,0.1997975382271853,0.0,1.0,0.0,28.5,259.0,0.0,41.0,44.166666666666664
67,16,4352,511.62955685932,197.13804888759728,74.05043933342898,0.19680057515377752,0.0,1.0,0.0,28.933333333333337,233.16666666666666,0.0,42.0,44.0
68,16,4416,511.62955685932,173.84771831481868,25.180590349162564,0.19384856652647087,0.0,1.0,0.0,28.7,241.5,0.0,41.166666666666664,43.333333333333336
69,16,4480,511.62955685932,167.7386085186448,22.3963575956505,0.1909408380285738,0.0,1.0,0.0,28.900000000000002,233.33333333333334,0.0,41.666666666666664,44.0
70,16,4544,511.62955685932,200.96408717558677,83.03745223717735,0.1880767254581452,0.0,1.0,0.0,29.100000000000005,230.83333333333334,0.0,40.833333333333336,43.333333333333336
71,16,4608,511.62955685932,142.46114790941596,72.58263803573637,0.185255574576273,0.0,1.0,0.0,29.2,256.1666666666667,0.0,40.833333333333336,43.833333333333336
